,ppg_time,ppg_sig
0,0.0,-0.10248916608146479
1,0.005,-0.5075628263698988
2,0.01,-1.3017339821736502
3,0.015,-2.4604740951916533
4,0.02,-3.9551360894038132
5,0.025,-5.753973896518519
6,0.03,-7.822949991725439
7,0.035,-10.126361686842255
8,0.04,-12.627329373954943
9,0.045,-15.288203561049722
10,0.05,-18.070949303094427
11,0.055,-20.937541862693514
12,0.06,-23.850372998789158
13,0.065,-26.77265443376174
14,0.07,-29.668813347003276
15,0.075,-32.50487755175878
16,0.08,-35.24883911390744
17,0.085,-37.87098281050273
18,0.09,-40.34417473682895
19,0.095,-42.64411118163757
20,0.1,-44.74952235241879
21,0.105,-46.64231945138824
22,0.11,-48.307672541913185
23,0.115,-49.73400838660058
24,0.12,-50.9129258228968
25,0.125,-51.83904544253832
26,0.13,-52.50982702380743
27,0.135,-52.92538342670341
28,0.14,-53.08829859556997
29,0.145,-53.00344312620424
30,0.15,-52.67778135523863
31,0.155,-52.12016737742337
32,0.16,-51.341127968111515
33,0.165,-50.35263418547726
34,0.17,-49.16787063216893
35,0.17500000000000002,-47.80101186670029
36,0.18,-46.26700447216992
37,0.185,-44.58134131106331
38,0.19,-42.75981848132687
39,0.195,-40.818287893390206
40,0.2,-38.772436609904425
41,0.20500000000000002,-36.63761366294416
42,0.21,-34.42869365281217
43,0.215,-32.15994718252807
44,0.22,-29.84489982045209
45,0.225,-27.496190662175042
46,0.23,-25.125462335441856
47,0.23500000000000001,-22.743311561778924
48,0.24,-20.35930885222344
49,0.245,-17.982074540135184
50,0.25,-15.619388076466358
51,0.255,-13.278309400097752
52,0.26,-10.965300624754988
53,0.265,-8.686346225424193
54,0.27,-6.447071859066921
55,0.275,-4.2528538179303546
56,0.28,-2.10890416451654
57,0.28500000000000003,-0.020323290283198125
58,0.29,2.007873576209682
59,0.295,3.970743765823117
60,0.3,5.863414399482458
61,0.305,7.6810949574076135
62,0.31,9.41911156037108
63,0.315,11.072963946899486
64,0.32,12.638402632292912
65,0.325,14.111525679428176
66,0.33,15.488897670707042
67,0.335,16.767691190739807
68,0.34,17.945842442393143
69,0.34500000000000003,19.02220413129019
70,0.35000000000000003,19.99667854491484
71,0.355,20.87032298388952
72,0.36,21.64542992729326
73,0.365,22.32558612711126
74,0.37,22.91570923344598
75,0.375,23.422056478851424
76,0.38,23.852201582323016
77,0.385,24.21497931920291
78,0.39,24.52039768405028
79,0.395,24.779515606843756
80,0.4,25.004282583095147
81,0.405,25.207336390824416
82,0.41000000000000003,25.401754806392763
83,0.41500000000000004,25.6007570949921
84,0.42,25.817356055624685
85,0.425,26.063974756022844
86,0.43,26.352056251288293
87,0.435,26.691697235766775
88,0.44,27.091326150215632
89,0.445,27.557433929907717
90,0.45,28.094361896779475
91,0.455,28.70415547235
92,0.46,29.3864941318133
93,0.465,30.1386995220623
94,0.47000000000000003,30.95581011174374
95,0.47500000000000003,31.83070586838369
96,0.48,32.75427738100439
97,0.485,33.71565305962084
98,0.49,34.702509296318055
99,0.495,35.70147999841395
100,0.5,36.69865642508191
101,0.505,37.680140560657996
102,0.51,38.632600126117985
103,0.515,39.54377589754484
104,0.52,40.40290701753586
105,0.525,41.201058731973085
106,0.53,41.931354728852526
107,0.535,42.589131803893515
108,0.54,43.17204474025687
109,0.545,43.680149048769394
110,0.55,44.115977518183136
111,0.555,44.484608263358844
112,0.56,44.79370440017759
113,0.5650000000000001,45.05349500049998
114,0.5700000000000001,45.27666768951798
115,0.5750000000000001,45.47815481906605
116,0.58,45.674811816084066
117,0.585,45.885001554514616
118,0.59,46.12811093423706
119,0.595,46.424035530952246
120,0.6,46.79267036840003
121,0.605,47.2534346519926
122,0.61,47.82484136745812
123,0.615,48.524110099786434
124,0.62,49.36681493615492
125,0.625,50.36655308086384
126,0.63,51.53461517598435
127,0.635,52.879642522237425
128,0.64,54.4072676950041
129,0.645,56.11974239900182
130,0.65,58.01555483066919
131,0.655,60.089036736185406
132,0.66,62.32997042188999
133,0.665,64.72323008716403
134,0.67,67.24851495300769
135,0.675,69.88023458510581
136,0.68,72.58758616880687
137,0.685,75.33483333457055
138,0.6900000000000001,78.0817721471926
139,0.6950000000000001,80.7843589292023
140,0.7000000000000001,83.39547623054894
141,0.705,85.86582283880433
142,0.71,88.14492286913462
143,0.715,90.18224710726952
144,0.72,91.92841973675286
145,0.725,93.33645038619562
146,0.73,94.36290493246419
147,0.735,94.96892870809658
148,0.74,95.12106284290165
149,0.745,94.79182991474377
150,0.75,93.96009200290742
151,0.755,92.61120009205906
152,0.76,90.73696565836035
153,0.765,88.3354975437224
154,0.77,85.41095420266676
155,0.775,81.9732536102348
156,0.78,78.03776061420581
157,0.785,73.62494774469329
158,0.79,68.76001682916892
159,0.795,63.47247861119428
160,0.8,57.79570055392612
161,0.805,51.76643184076373
162,0.81,45.42430287141171
163,0.8150000000000001,38.81129355881842
164,0.8200000000000001,31.971178302443363
165,0.8250000000000001,24.94897175749374
166,0.8300000000000001,17.790399469892815
167,0.835,10.541399479629394
168,0.84,3.2476459042396915
169,0.845,-4.045907374748229
170,0.85,-11.295445781085013
171,0.855,-18.458656907519416
172,0.86,-25.49504291266449
173,0.865,-32.36621630322176
174,0.87,-39.036214151718696
175,0.875,-45.47183361614645
176,0.88,-51.6429518723693
177,0.885,-57.52277961133234
178,0.89,-63.088016112854575
179,0.895,-68.31890481972415
180,0.9,-73.19921034230916
181,0.905,-77.71614602037612
182,0.91,-81.8602800100135
183,0.915,-85.62544054515394
184,0.92,-89.00862706288297
185,0.925,-92.00991418259751
186,0.93,-94.63231780279267
187,0.935,-96.88158864428398
188,0.9400000000000001,-98.76591476495855
189,0.9450000000000001,-100.29554471971811
190,0.9500000000000001,-101.48237020174219
191,0.9550000000000001,-102.33951445663598
192,0.96,-102.88095726312616
193,0.965,-103.12120336812947
194,0.97,-103.07499098346354
195,0.975,-102.75704839870883
196,0.98,-102.18192163225008
197,0.985,-101.36388983910243
198,0.99,-100.3169602277477
199,0.995,-99.05491712133659
200,1.0,-97.59140733082154
201,1.0050000000000001,-95.94006544769233
202,1.01,-94.11469357504593
203,1.0150000000000001,-92.12949605984686
204,1.02,-89.99933923494746
205,1.025,-87.7399810227919
206,1.03,-85.3682110770571
207,1.035,-82.90185894259456
